"timestamp","session_id","request_id","tag_id","domain_string","url_string","device_type","browser_brand","lcp","fcp","cls","inp","ttfb"
"2024-04-01 05:50:37.906024","5c820c56-fde7-4b87-a69d-3d503bb5fbe3","1cb26325-b74e-4d95-8056-093d449ee56d","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",3143,3143,"0.09553428612273579",96,875
"2024-04-01 05:51:02.904095","29151a04-7f77-405b-a255-27bb31daa216","b06a8d63-fff7-4a38-a94a-72c27d7c195e","cGbonAJm","auditzy.com","/","mobile","Google Chrome",1114,1114,"0",2928,219
"2024-04-01 06:39:04.923622","d0a87605-c80e-4609-8f0b-16c8a1da20e7","f79b6478-24eb-4967-b376-5ccd0eaac183","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",155,155,"0.2854444336031925",64,93
"2024-04-01 06:38:48.019865","e5d5eb42-96bb-4cac-858d-dab6dbdb9465","28848560-a4de-4872-8142-01da828a0c72","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",442,442,"0.4416612918129288",56,245
"2024-04-01 06:39:27.922462","c6c1aa51-aca8-48ca-bca9-0ed217e802b0","c03f18e1-8d3c-47aa-80b9-ea5c9c35cd07","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",117,117,"0.285441770257691",64,57
"2024-04-01 07:21:02.231211","fedded83-e794-48a5-86f5-8ef7244c25ea","5b83fad5-92ae-439e-81ef-31b6b5fd97cc","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",901,497,"0",40,243
"2024-04-01 07:20:32.641779","fedded83-e794-48a5-86f5-8ef7244c25ea","5af61d3a-52fa-4a17-a409-a6eba62abc39","cGbonAJm","auditzy.com","/","desktop","Google Chrome",25,25,"0",24,0
"2024-04-01 07:26:36.426362","631f927b-a0ea-4b8f-b2e9-5a0b987827a8","c228fb44-d372-4406-aa43-35fa292a4ba4","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",245,245,"0.00037623086155386034",72,0
"2024-04-01 08:09:34.395909","3e80c73c-9af3-4213-8e9d-78808e2eee2b","8990f3f7-98d1-459e-b38e-c5eaf97dd473","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",1078,731,"0.03711733254952081",16,449
"2024-04-01 09:15:19.037558","3c54168e-116c-4e3b-be1d-5129b5d40892","c756bdf9-cc22-485d-ac6f-e9a7c8ce2116","cGbonAJm","auditzy.com","/","desktop","Microsoft Edge",744,744,"0.05577838229007821",40,146
"2024-04-01 09:25:37.8386","e5564d40-faa4-46d1-8222-37e59afa0bc7","59c0ba50-7bcc-48a5-82a7-3d5769d5383e","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",571,571,"0.21414706469258918",88,351
